project	histology	PTEN	ALC1
BTCA-SG	Biliary	FALSE	FALSE
BLCA-US	Bladder	FALSE	FALSE
BOCA-UK	Bone/SoftTissue	TRUE	FALSE
SARC-US	Bone/SoftTissue	TRUE	FALSE
BRCA-EU	Breast	TRUE	TRUE
BRCA-UK	Breast	TRUE	TRUE
BRCA-US	Breast	TRUE	TRUE
CESC-US	Cervix	TRUE	FALSE
GBM-US	CNS	TRUE	FALSE
LGG-US	CNS	TRUE	FALSE
PBCA-DE	CNS	TRUE	FALSE
COAD-US	Colon/Rectum	TRUE	FALSE
READ-US	Colon/Rectum	TRUE	FALSE
ESAD-UK	Esophagus	FALSE	TRUE
HNSC-US	Head/Neck	FALSE	FALSE
ORCA-IN	Head/Neck	FALSE	FALSE
KICH-US	Kidney	TRUE	FALSE
KIRC-US	Kidney	TRUE	FALSE
KIRP-US	Kidney	TRUE	FALSE
RECA-EU	Kidney	TRUE	FALSE
LICA-FR	Liver	FALSE	TRUE
LIHC-US	Liver	FALSE	TRUE
LINC-JP	Liver	FALSE	TRUE
LIRI-JP	Liver/Biliary	FALSE	TRUE
LUAD-US	Lung	TRUE	TRUE
LUSC-US	Lung	TRUE	TRUE
CLLE-ES	Lymphoid	FALSE	FALSE
DLBC-US	Lymphoid	FALSE	FALSE
MALY-DE	Lymphoid	FALSE	FALSE
CMDI-UK	Myeloid	FALSE	FALSE
LAML-KR	Myeloid	FALSE	FALSE
LAML-US	Myeloid	FALSE	FALSE
OV-AU	Ovary	TRUE	TRUE
OV-US	Ovary	TRUE	TRUE
PACA-AU	Pancreas	TRUE	TRUE
PACA-CA	Pancreas	TRUE	TRUE
PAEN-AU	Pancreas	TRUE	TRUE
PAEN-IT	Pancreas	TRUE	TRUE
EOPC-DE	Prostate	TRUE	FALSE
PRAD-CA	Prostate	TRUE	FALSE
PRAD-UK	Prostate	TRUE	FALSE
PRAD-US	Prostate	TRUE	FALSE
MELA-AU	Skin	TRUE	TRUE
SKCM-US	Skin	TRUE	TRUE
GACA-CN	Stomach	TRUE	TRUE
STAD-US	Stomach	TRUE	TRUE
THCA-US	Thyroid	FALSE	FALSE
UCEC-US	Uterus	TRUE	FALSE
